99686;F;20240524
105416;S;20240524
96139;S;20240524
105716;S;20240524
108138;S;20240524
362852;S;20240524
363782;S;20240524
106878;S;20240524
101196;S;20240524
101266;S;20240524
91239;S;20240524
101729;S;20240524
103051;S;20240524
91785;S;20240524
93650;S;20240524
94782;S;20240524
93896;S;20240524
104923;S;20240524
95818;S;20240524
393181;S;20240524
101278;S;20240524
103985;S;20240524
104264;S;20240524
105066;S;20240524
105113;S;20240524
105301;S;20240524
105331;S;20240524
105363;S;20240524
105385;S;20240524
106278;S;20240524
96668;S;20240524
93425;S;20240524
120814;S;20240524
97515;S;20240524
108289;S;20240524
664611;S;20240524
105322;S;20240524
104180;S;20240524
104498;S;20240524
105348;S;20240524
94835;S;20240524
97626;S;20240524
102890;S;20240524
106212;S;20240524
91761;S;20240524
93584;S;20240524
92376;S;20240524
93830;S;20240524
103206;S;20240524
103865;S;20240524
90780;S;20240524
91615;S;20240524
91756;S;20240524
93456;S;20240524
163283;S;20240524
96988;S;20240524
97866;S;20240524
93750;S;20240524
93812;S;20240524
93818;S;20240524
105374;S;20240524
103122;S;20240524
106200;S;20240524
